RACE,DISTANCE,SURFACE,Angles,PROGRAM,PP,Solley4,Top2,HORSE_NAME,AXCIS_ODDS,,,POWER,HI_SPD_SD,Avg Sd,SPEED_L3,CL,PACER,PACER_ALL,DAYS,WODAYSAGO,LAST_WORK,L2Y_S123,R1,R2,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,JOCKNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME,TRAINNAME,TRAINNAME,TRAINNAME,LT_MUD,JOCKNAME,TRAINNAME
4,4.5,D,yRlO11lAcRlXm, 3,84,270,3,UNCLE PRESS,12/1,,,39.6, 39, 42 39, 45  45  39,, 7.0       3.0  1, 4.0  2.1  3.1  4, 19, 28  96 105, 3D(FT)CT : 40.0B,4-0-2-1, 19 6.5D 53/ 45: 2-4.8, 48 6.5D 54/ 45: 5-7.0,  1- 0- 1- 0,"MARRERO, CARLO","VIANDS, STACEY"
4,4.5,D,RlBh1lAcRl, 9,70,390,7,ALDARIGHTTRICKS, 5/1,,,54.5, 54, 54 54, 54,, 4.0       4.0  1, 4.0       4.0  1, 74, 39  46  88, 3D(FT)CT : 37.0B,1-0-0-0, 74 4.5D 56/ 54: 4-6.5,,  1- 0- 0- 0,"LARROSA, GUSTA","LEWISJR, WILLI"
4,4.5,D,yRlC41lAcRl, 2,68,110,5,HARLEY SIOUX, 9/2,,,49.4, 64, 51 51, 41  64  57,, 4.9       3.6  8, 4.9       3.6  8, 25, 83 116 228, 3D(FT)CT : 37.8B,8-0-3-3, 25 4.5D 61/ 41: 2-6.8, 46 4.5D 64/ 64: 2-1.5,  3- 0- 1- 2,"PELTROCHE, FRE","STRAUGHN, WILL"
4,4.5,D,yRl1lJtAcRlFb, 8,42,0,2,GAMBLING FEVER, 8/1,,,40.9, 38, 38 38, 38,, 5.6       4.4  1, 5.6       4.4  1, 25, 41  50  60, 4D(FT)CT : 48.2Bg,1-0-0-0, 25 4.5D 61/ 38: 4-7.8,,  0- 0- 0- 0,"CONCEPCION, AX","BROWN, RONNEY"
4,4.5,D,yRlBh1lAcRl, 1,28,60,2,SCARE DEM,15/1,,,36.1, 46, 42 42, 41  41  35,, 7.4       5.1  6, 7.3  5.1  5.3 10, 25, 32  60  84, 3D(FT)CT : 36.3B,10-0-0-1, 25 4.5D 61/ 41: 3-6.8, 48 6.5D 54/ 41: 8-9.3,  3- 0- 0- 0,"LOPEZ, ANTONIO","PYKE, JOSEPH"
4,4.5,D,yRl1lAcRlFb, 6,22,0,3,IT'S ONLY MONEY,20/1,,,34.3, 37, 34 31, 37  41  20,, 7.3       7.2  4, 6.5  4.4  6.6  7, 25, 56  78  95, 4D(MY)CT : 50.8Bg,7-0-0-1, 25 4.5D 61/ 37: 5-7.9,158  7 D 56/ 41: 4- 16,  3- 0- 0- 1,"BOCACHICA, ORL","PICKETT, CRYST"
4,4.5,D,Rl1lJtAcRl, 4,6,0,2,DOCTOR PARDO,10/1,,,0, NA, NA NA,,,,,,  7  29  39, 4D(FT)CT : 50.6Bg,0-0-0-0,,,  0- 0- 0- 0,"LOPEZ, CARLOS","BROWN, RONNEY"
5,4.5,D,yRl1lJtAcRl, 6,120.5,310,11,DREAMY SONDE, 7/2,,,64.5, 71, 65 65, 68  71  55,, 3.6       1.5  3, 3.6       1.5  3, 48,  4  22 131, 3D(FT)CT : 37.4B,3-2-1-0, 48 4.5D 69/ 68: 1- nk, 95 4.5D 62/ 71: 2-3.5,  0- 0- 0- 0,"BOCACHICA, ARN","RUNCO, JEFF"
5,4.5,D,yRlO1Bh1lAcRl, 7,96,480,10,STRYDA, 3/5,,,75, 83, 62 70, 83  68  81,, 1.5       3.0  6, 1.7  6.3  3.8  7, 32,207 215 222, 4D(FT)CT : 51.6B,7-2-2-1, 32 4.5D 86/ 83: 2-1.8, 67 4.5D 81/ 68: 6-3.1,  3- 0- 1- 1,"HIRALDO, CHRIS","JOHNSON, JAMEY"
5,4.5,D,yRlC41lAcRlXm, 3,82,90,3,BLUE MOUNTAIN,15/1,,,44.9, 62, 49 49, 53  52  42,, 2.3       3.0  7, 2.3       3.0  7, 18, 92 125 230, 3D(FT)CT : 36.8B,7-2-3-0, 18 4.5D 49/ 53: 1-1.5, 48 4.5D 48/ 52: 2-0.5,  1- 0- 1- 0,"MENDEZ, MARSHA","ADORNO, JEAN"
